dict,word_class,exception,key,iast,L,page
MW,nominal_stems,off-policy key shape,aDaH,adhaḥ,"3954<pc>19,3<k1>aDaH<k2>aDaH<e>1","19,3"
MW,nominal_stems,off-policy key shape,antaH,antaḥ,"7981<pc>43,1<k1>antaH<k2>anta/H<e>1","43,1"
MW,nominal_stems,off-policy key shape,UM,ūṃ,"37964<pc>221,1<k1>UM<k2>UM<e>1","221,1"
MW,nominal_stems,off-policy key shape,kzapaH,kṣapaḥ,"58996<pc>326,1<k1>kzapaH<k2>kza/paH<e>1C","326,1"
MW,nominal_stems,off-policy key shape,kzapaH,kṣapaḥ,"58996.1<pc>326,1<k1>kzapaH<k2>kzapa/H<e>1C","326,1"
MW,nominal_stems,off-policy key shape,gAM,gāṃ,"64656<pc>353,1<k1>gAM<k2>gAM<e>1","353,1"
MW,nominal_stems,off-policy key shape,GrAM,ghrāṃ,"70273<pc>380,1<k1>GrAM<k2>GrA/M<e>1","380,1"
MW,nominal_stems,off-policy key shape,JAM,jhāṃ,"81075<pc>429,1<k1>JAM<k2>JAM<e>1","429,1"
MW,nominal_stems,off-policy key shape,WaWaM,ṭhaṭhaṃ,"81317<pc>430,1<k1>WaWaM<k2>WaWaM<e>1","430,1"
MW,nominal_stems,off-policy key shape,tiraH,tiraḥ,"85042<pc>447,1<k1>tiraH<k2>tiraH<e>1","447,1"
MW,nominal_stems,off-policy key shape,tUzRIM,tūṣṇīṃ,"86498<pc>453,1<k1>tUzRIM<k2>tUzRIM<e>1","453,1"
MW,nominal_stems,off-policy key shape,duH,duḥ,"93288<pc>483,1<k1>duH<k2>duH<e>1","483,1"
MW,nominal_stems,off-policy key shape,dOH,dOḥ,"97166<pc>499,1<k1>dOH<k2>dOH<e>1","499,1"
MW,nominal_stems,off-policy key shape,dvAH,dvāḥ,"98309<pc>504,2<k1>dvAH<k2>dvAH<e>1","504,2"
MW,nominal_stems,off-policy key shape,niH,niḥ,"106317<pc>538,3<k1>niH<k2>niH<e>1","538,3"
MW,nominal_stems,off-policy key shape,nEH,nEḥ,"112407<pc>570,1<k1>nEH<k2>nEH<e>1","570,1"
MW,nominal_stems,off-policy key shape,pOnaH,pOnaḥ,"129466<pc>651,1<k1>pOnaH<k2>pOnaH<e>1","651,1"
MW,nominal_stems,off-policy key shape,banDuraH,bandhuraḥ,"142831.1<pc>1331,1<k1>banDuraH<k2>banDu/raH<e>1","1331,1"
MW,nominal_stems,off-policy key shape,saM,saṃ,"225601<pc>1111,3<k1>saM<k2>saM<e>1","1111,3"
